BirdID,jdate,daily_nsd,days_numeric,year,nsd_plot_data
8503_2022,2022-02-17,93999.74405753883,48,2022,0.30659377693870243
8503_2022,2022-02-18,246097.02049101554,49,2022,0.4960816671587608
8503_2022,2022-02-19,270104.316906211,50,2022,0.5197156115667597
8503_2022,2022-02-20,239285.76000390516,51,2022,0.4891684372523488
8503_2022,2022-02-21,409452.9174208748,52,2022,0.6398850814176518
8503_2022,2022-02-22,509984.1180732963,53,2022,0.7141317231948854
8503_2022,2022-02-23,1126339.3981513255,54,2022,1.0612913823033359
8503_2022,2022-02-24,1167004.1234699057,55,2022,1.0802796505858592
8503_2022,2022-02-25,1054699.0718735275,56,2022,1.0269854292411005
8503_2022,2022-02-26,833074.6095455878,57,2022,0.9127292093198222
8503_2022,2022-02-27,546368.6416758593,58,2022,0.7391675328880857
8503_2022,2022-02-28,1178854.2058587414,59,2022,1.0857505265293412
8503_2022,2022-03-01,1009691.9137198318,60,2022,1.0048342717681518
8503_2022,2022-03-02,1159457.6873345529,61,2022,1.0767811696600906
8503_2022,2022-03-03,825470.1045410702,62,2022,0.9085538534071991
8503_2022,2022-03-04,267085.4111056177,63,2022,0.5168030680110343
8503_2022,2022-03-05,744514.3455410955,64,2022,0.8628524471432503
8503_2022,2022-03-06,1391969.635311688,65,2022,1.1798176279881938
8503_2022,2022-03-07,1559130.0678054292,66,2022,1.2486512995249832
8503_2022,2022-03-08,964840.7603295575,67,2022,0.982263081017279
8503_2022,2022-03-09,1262389.8994111803,68,2022,1.1235612575250093
8503_2022,2022-03-10,1251636.3984637344,69,2022,1.1187655690374703
8503_2022,2022-03-11,1309551.7459058969,70,2022,1.1443564767614578
8503_2022,2022-03-12,1257626.9523237243,71,2022,1.1214396784150829
8503_2022,2022-03-13,1118300.9205632382,72,2022,1.0574974801687418
8503_2022,2022-03-14,856148.2835613316,73,2022,0.9252828127450178
8503_2022,2022-03-15,357000.540305545,74,2022,0.5974952219939043
8503_2022,2022-03-16,947314.754797321,75,2022,0.9733009579761652
8503_2022,2022-03-17,941282.000524315,76,2022,0.9701968875049615
8503_2022,2022-03-18,811167.2921639357,77,2022,0.9006482621778248
8503_2022,2022-03-19,1585043.6414245816,78,2022,1.2589851633059785
8503_2022,2022-03-20,1250302.7214735285,79,2022,1.1181693617129422
8503_2022,2022-03-21,790622.7537585484,80,2022,0.8891696990780491
8503_2022,2022-03-22,371559.4618710899,81,2022,0.6095567749365844
8503_2022,2022-03-23,862599.6064932544,82,2022,0.9287624058354508
8503_2022,2022-03-24,1394581.3229341041,83,2022,1.180923927666005
8503_2022,2022-03-25,725362.8713108373,84,2022,0.8516823770108416
8503_2022,2022-03-26,294859.9268031037,85,2022,0.5430100614197712
8503_2022,2022-03-27,784666.3575323113,86,2022,0.8858139519855799
8503_2022,2022-03-28,661591.5372749575,87,2022,0.8133827741444722
8503_2022,2022-03-29,220738.69341410353,88,2022,0.4698283659104711
8503_2022,2022-03-30,1090335.0842537056,89,2022,1.04419111481266
8503_2022,2022-03-31,759440.1514567826,90,2022,0.8714586343922369
8503_2022,2022-04-01,422648.24140391115,91,2022,0.650114021848407
8503_2022,2022-04-02,708609.0174919504,92,2022,0.8417891763927298
8503_2022,2022-04-03,543664.1549800498,93,2022,0.7373358495150292
8503_2022,2022-04-04,669167.2701029348,94,2022,0.8180264482906007
8503_2022,2022-04-05,219458.41587432852,95,2022,0.46846388961618857
8503_2022,2022-04-06,344351.06510499597,96,2022,0.5868143361447435
8503_2022,2022-04-07,352621.97868185746,97,2022,0.5938198200480155
8503_2022,2022-04-08,485855.4406203871,98,2022,0.6970333138526359
8503_2022,2022-04-09,849121.4538491566,99,2022,0.9214778640038819
8503_2022,2022-04-10,762420.725712611,100,2022,0.8731670663238571
8503_2022,2022-04-11,1185603.6432572757,101,2022,1.0888542800840137
8503_2022,2022-04-12,1907647.1993213377,102,2022,1.3811760203975951
8503_2022,2022-04-13,3563744.016036503,103,2022,1.8877881279519964
8503_2022,2022-04-14,5115862.832523351,104,2022,2.2618273215529405
8503_2022,2022-04-15,8173744.447453529,105,2022,2.8589761187273894
8503_2022,2022-04-16,8247695.459525175,106,2022,2.871880126245727
8503_2022,2022-04-17,7988698.968332715,107,2022,2.826428659692778
8503_2022,2022-04-18,8172050.696292866,108,2022,2.858679886992048
8503_2022,2022-04-19,8228902.672419106,109,2022,2.868606399006163
8503_2022,2022-04-20,8214659.5605434375,110,2022,2.866122739964818
8503_2022,2022-04-21,8117301.420272548,111,2022,2.8490878224920597
8503_2022,2022-04-22,8229203.717217609,112,2022,2.8686588708345244
8503_2022,2022-04-23,8198340.951197848,113,2022,2.8632745155150334
8503_2022,2022-04-24,8211371.828284603,114,2022,2.8655491320660693
8503_2022,2022-04-25,8225435.698550627,115,2022,2.8680020394955488
8503_2022,2022-04-26,8222607.0982189905,116,2022,2.867508866284286
8503_2022,2022-04-27,8201298.88359608,117,2022,2.8637909985884233
8503_2022,2022-04-28,8236342.619525939,118,2022,2.8699028937450026
8503_2022,2022-04-29,8223563.2572854,119,2022,2.867675584386316
8503_2022,2022-04-30,8223884.918776755,120,2022,2.8677316678477354
