BirdID,jdate,daily_nsd,days_numeric,year,nsd_plot_data
8908_2023,2023-02-23,66965.26423931008,54,2023,0.25877647543644705
8908_2023,2023-02-24,765050.9132817469,55,2023,0.8746718889284981
8908_2023,2023-02-25,1248074.7749374039,56,2023,1.1171726701532776
8908_2023,2023-02-26,1974021.5193467597,57,2023,1.4049987613328203
8908_2023,2023-02-27,1152273.8713672739,58,2023,1.0734402039085709
8908_2023,2023-02-28,1012730.5027816416,59,2023,1.0063451211098713
8908_2023,2023-03-01,2271572.2493774793,60,2023,1.507173596297878
8908_2023,2023-03-02,2794166.678620491,61,2023,1.671576106140696
8908_2023,2023-03-03,1178234.5143011748,62,2023,1.0854651142718383
8908_2023,2023-03-04,1304537.8361874574,63,2023,1.1421636643613986
8908_2023,2023-03-05,1584567.5086378276,64,2023,1.2587960552201567
8908_2023,2023-03-06,1112046.9835222473,65,2023,1.0545363832140868
8908_2023,2023-03-07,3771510.817093205,66,2023,1.9420378001195562
8908_2023,2023-03-08,9956994.546202334,67,2023,3.1554705744472304
8908_2023,2023-03-09,9220218.252025692,68,2023,3.0364812286634826
8908_2023,2023-03-10,8173133.856535374,69,2023,2.858869331840015
8908_2023,2023-03-11,9627590.454419432,70,2023,3.1028358729425944
8908_2023,2023-03-12,6730429.017367553,71,2023,2.5943070399178954
8908_2023,2023-03-13,2029323.4260661942,72,2023,1.4245432341863808
8908_2023,2023-03-14,539528.3608640428,73,2023,0.7345259429482683
8908_2023,2023-03-15,59479.90440367062,74,2023,0.24388502291791234
8908_2023,2023-03-16,301029.88815857086,75,2023,0.5486619069687368
8908_2023,2023-03-17,721152.77694805,76,2023,0.8492071460768863
8908_2023,2023-03-18,674397.3419781056,77,2023,0.8212169883642846
8908_2023,2023-03-19,439066.1344852562,78,2023,0.6626206565488706
8908_2023,2023-03-20,961716.8871457485,79,2023,0.9806716510360379
8908_2023,2023-03-21,1483716.140824029,80,2023,1.2180788729897705
8908_2023,2023-03-22,547925.1438397673,81,2023,0.7402196591821696
8908_2023,2023-03-23,624338.5657356674,82,2023,0.7901509765454114
8908_2023,2023-03-24,525719.3061215285,83,2023,0.7250650357874999
8908_2023,2023-03-25,560198.6005258949,84,2023,0.7484641611499477
8908_2023,2023-03-26,582144.2146751601,85,2023,0.7629837578056037
8908_2023,2023-03-27,497575.1327216731,86,2023,0.7053900571468761
8908_2023,2023-03-28,535554.3782615695,87,2023,0.7318158089721549
8908_2023,2023-03-29,524279.9250988432,88,2023,0.7240717679200337
8908_2023,2023-03-30,559572.9586032317,89,2023,0.7480460939027966
8908_2023,2023-03-31,481872.96612034,90,2023,0.6941707038764601
8908_2023,2023-04-01,464125.45790876757,91,2023,0.681267537688952
8908_2023,2023-04-02,308369.1697480163,92,2023,0.5553099762727267
8908_2023,2023-04-03,531468.3652189365,93,2023,0.7290187687700067
8908_2023,2023-04-04,258265.82363023525,94,2023,0.5081986064819888
8908_2023,2023-04-05,432538.1799533541,95,2023,0.6576763489387117
8908_2023,2023-04-06,97705.78695696026,96,2023,0.31257924908246915
8908_2023,2023-04-07,388459.67512219236,97,2023,0.6232653328416337
8908_2023,2023-04-08,727165.2670235513,98,2023,0.8527398589391441
8908_2023,2023-04-09,1109970.0064729536,99,2023,1.0535511408911074
8908_2023,2023-04-10,1146680.3906717512,100,2023,1.0708316350723635
8908_2023,2023-04-11,1060275.2128301058,101,2023,1.0296966605899553
8908_2023,2023-04-12,1030263.022124025,102,2023,1.0150187299375442
8908_2023,2023-04-13,1108120.641221054,103,2023,1.0526730932350525
8908_2023,2023-04-14,1530774.365564382,104,2023,1.2372446668158978
8908_2023,2023-04-15,1459298.0866363635,105,2023,1.2080141086247145
8908_2023,2023-04-16,3244318.9504402797,106,2023,1.801199308916223
8908_2023,2023-04-17,2861043.3906991477,107,2023,1.691461909325524
8908_2023,2023-04-18,2461429.447465357,108,2023,1.5688943391654382
8908_2023,2023-04-19,3388139.887146177,109,2023,1.8406900573280056
8908_2023,2023-04-20,3112590.1998731126,110,2023,1.7642534398076464
8908_2023,2023-04-21,3203388.1986567895,111,2023,1.789801161765404
8908_2023,2023-04-22,3340560.3629035247,112,2023,1.827719990289411
8908_2023,2023-04-23,3079265.899297168,113,2023,1.7547837186665391
8908_2023,2023-04-24,3248927.3161980384,114,2023,1.8024781042215292
8908_2023,2023-04-25,3286187.6464077467,115,2023,1.8127845008184913
8908_2023,2023-04-26,2603536.550874779,116,2023,1.6135478148709381
8908_2023,2023-04-27,3183921.4638138344,117,2023,1.7843546351030768
8908_2023,2023-04-28,3119842.3995692055,118,2023,1.766307560865096
8908_2023,2023-04-29,3247491.2730109417,119,2023,1.8020797077296393
8908_2023,2023-04-30,3756484.636088586,120,2023,1.938165275741103
