BirdID,jdate,daily_nsd,days_numeric,year,nsd_plot_data
9074_2023,2023-03-08,60312.021389605325,67,2023,0.24558505937781583
9074_2023,2023-03-09,206368.4918039541,68,2023,0.4542779895658099
9074_2023,2023-03-10,479791.11458392866,69,2023,0.6926695565592071
9074_2023,2023-03-11,496185.8687118188,70,2023,0.7044046200244707
9074_2023,2023-03-12,233669.28337386475,71,2023,0.4833935077903558
9074_2023,2023-03-13,434853.65620471165,72,2023,0.6594343456362518
9074_2023,2023-03-14,284610.09340578446,73,2023,0.5334886066316548
9074_2023,2023-03-15,504667.70053900447,74,2023,0.710399676618032
9074_2023,2023-03-16,369625.159059862,75,2023,0.60796805759831
9074_2023,2023-03-17,325633.1966704872,76,2023,0.5706427925335491
9074_2023,2023-03-18,254186.97596929758,77,2023,0.5041695904844892
9074_2023,2023-03-19,175016.69195452135,78,2023,0.41834996349291265
9074_2023,2023-03-20,285908.45073275024,79,2023,0.5347040777222016
9074_2023,2023-03-21,364677.1420239951,80,2023,0.6038850404042106
9074_2023,2023-03-22,176267.28018132315,81,2023,0.4198419704857092
9074_2023,2023-03-23,634967.0284049731,82,2023,0.7968481840381975
9074_2023,2023-03-24,846029.0046135824,83,2023,0.9197983499732876
9074_2023,2023-03-25,762040.624352952,84,2023,0.8729493824689677
9074_2023,2023-03-26,345634.3541205407,85,2023,0.5879067563147583
9074_2023,2023-03-27,176459.47424408628,86,2023,0.42007079670465824
9074_2023,2023-03-28,816432.8325446276,87,2023,0.903566728329805
9074_2023,2023-03-29,280356.010055431,88,2023,0.5294865532338201
9074_2023,2023-03-30,134740.21247323896,89,2023,0.36706976513087936
9074_2023,2023-03-31,142855.3645626016,90,2023,0.3779621205393493
9074_2023,2023-04-01,858270.5394876809,91,2023,0.9264289176659378
9074_2023,2023-04-02,412247.0667346081,92,2023,0.6420646904593088
9074_2023,2023-04-03,171012.72725665162,93,2023,0.4135368511470914
9074_2023,2023-04-04,387818.9847039436,94,2023,0.6227511418728541
9074_2023,2023-04-05,334507.4928858459,95,2023,0.5783662273039859
9074_2023,2023-04-06,1639254.0064458314,96,2023,1.2803335528079516
9074_2023,2023-04-07,4146341.2008458534,97,2023,2.0362566637940938
9074_2023,2023-04-08,3719499.2621549307,98,2023,1.928600337590692
9074_2023,2023-04-09,3217406.6875424874,99,2023,1.7937131006776104
9074_2023,2023-04-10,3055397.7493036995,100,2023,1.7479696076601845
9074_2023,2023-04-11,3386272.5139299724,101,2023,1.8401827392761765
9074_2023,2023-04-12,3561180.5750798257,102,2023,1.8871090522489224
9074_2023,2023-04-13,3234877.241810887,103,2023,1.7985764486979383
9074_2023,2023-04-14,3594509.616541548,104,2023,1.8959192009528116
9074_2023,2023-04-15,4127127.0313280616,105,2023,2.0315331725886394
9074_2023,2023-04-16,4185772.0645182957,106,2023,2.0459159475692776
9074_2023,2023-04-17,3687237.4274391336,107,2023,1.9202180676785472
9074_2023,2023-04-18,3289609.9366901,108,2023,1.8137281871024942
9074_2023,2023-04-19,3677346.8311315724,109,2023,1.9176409546970914
9074_2023,2023-04-20,3669503.182527485,110,2023,1.9155947333732897
9074_2023,2023-04-21,3313071.3386989716,111,2023,1.8201844243644576
9074_2023,2023-04-22,3992298.3057002225,112,2023,1.9980736487177402
9074_2023,2023-04-23,3910574.5031299354,113,2023,1.9775172573532538
9074_2023,2023-04-24,3695996.374281055,114,2023,1.9224974315408212
9074_2023,2023-04-25,1335989.6602116092,115,2023,1.1558501893461839
9074_2023,2023-04-26,702997.7368064553,116,2023,0.8384496030212283
9074_2023,2023-04-27,790397.8424948929,117,2023,0.8890432174505877
9074_2023,2023-04-28,686484.8873049514,118,2023,0.8285438354758012
9074_2023,2023-04-29,550140.072245154,119,2023,0.7417142793860408
9074_2023,2023-04-30,577825.0091393456,120,2023,0.7601480179145017
