BirdID,jdate,daily_nsd,days_numeric,year,nsd_plot_data
8469_2022,2022-02-25,70780.31515098069,56,2022,0.2660457012450693
8469_2022,2022-02-26,129754.05578907656,57,2022,0.36021390282591337
8469_2022,2022-02-27,209686.16458068741,58,2022,0.4579150189507737
8469_2022,2022-02-28,167907.184321094,59,2022,0.409764791461021
8469_2022,2022-03-01,433735.71486411704,60,2022,0.6585861483998255
8469_2022,2022-03-02,856232.1731609369,61,2022,0.925328143504204
8469_2022,2022-03-03,1930931.8388435,62,2022,1.389579734611692
8469_2022,2022-03-04,1575263.6858997415,63,2022,1.2550950903814984
8469_2022,2022-03-05,1891293.6787139294,64,2022,1.375243134399852
8469_2022,2022-03-06,1636980.17619876,65,2022,1.2794452611185678
8469_2022,2022-03-07,1086663.0472915901,66,2022,1.0424313153832199
8469_2022,2022-03-08,1430816.5154493514,67,2022,1.1961674278500276
8469_2022,2022-03-09,1907866.0529899457,68,2022,1.3812552454162645
8469_2022,2022-03-10,4157027.3967064093,69,2022,2.0388789558741367
8469_2022,2022-03-11,4235985.590299727,70,2022,2.058151012510921
8469_2022,2022-03-12,4741768.238532304,71,2022,2.177560157270587
8469_2022,2022-03-13,4578621.77150209,72,2022,2.1397714297331127
8469_2022,2022-03-14,4276950.316525978,73,2022,2.068078895140603
8469_2022,2022-03-15,4542290.882946531,74,2022,2.1312650897874086
8469_2022,2022-03-16,5859012.418024215,75,2022,2.420539695610096
8469_2022,2022-03-17,5050637.850941995,76,2022,2.247362420915237
8469_2022,2022-03-18,4641421.374824746,77,2022,2.1543958259393157
8469_2022,2022-03-19,6354389.207086766,78,2022,2.520791385078655
8469_2022,2022-03-20,9269084.534080023,79,2022,3.0445171265867472
8469_2022,2022-03-21,5288331.254289319,80,2022,2.2996372005795434
8469_2022,2022-03-22,5192022.056690322,81,2022,2.2786008989488096
8469_2022,2022-03-23,4763358.8561696615,82,2022,2.1825120517810808
8469_2022,2022-03-24,4803111.7312660795,83,2022,2.1916002672171033
8469_2022,2022-03-25,4296281.173714338,84,2022,2.0727472527335156
8469_2022,2022-03-26,4681668.321560207,85,2022,2.1637163218777564
8469_2022,2022-03-27,4719200.845202257,86,2022,2.1723721700487366
8469_2022,2022-03-28,4702816.628549904,87,2022,2.1685978485071646
8469_2022,2022-03-29,4592223.804612233,88,2022,2.1429474572681975
8469_2022,2022-03-30,4933854.144309964,89,2022,2.2212280712051977
8469_2022,2022-03-31,5205012.033208616,90,2022,2.281449546496397
8469_2022,2022-04-01,4553567.661573532,91,2022,2.1339090096753264
8469_2022,2022-04-02,5777699.483404006,92,2022,2.403684564039967
8469_2022,2022-04-03,5264773.077664817,93,2022,2.2945093326602133
8469_2022,2022-04-04,2402204.926600491,94,2022,1.5499048121095989
8469_2022,2022-04-05,5169139.92441003,95,2022,2.273574261907895
8469_2022,2022-04-06,5178000.360379076,96,2022,2.2755219973401872
8469_2022,2022-04-07,4233803.78333265,97,2022,2.057620903697435
8469_2022,2022-04-08,4873852.911548838,98,2022,2.207680436917635
8469_2022,2022-04-09,4549211.62946471,99,2022,2.1328880958608
8469_2022,2022-04-10,5039526.188082832,100,2022,2.244888903282929
8469_2022,2022-04-11,5070698.151304387,101,2022,2.2518210744427245
8469_2022,2022-04-12,4978861.3302308675,102,2022,2.2313362207948106
8469_2022,2022-04-13,5281899.001182172,103,2022,2.298238238560609
8469_2022,2022-04-14,5016424.7860255325,104,2022,2.2397376600900234
8469_2022,2022-04-15,4229798.0233270405,105,2022,2.056647277324685
8469_2022,2022-04-16,5096330.937942126,106,2022,2.25750546797613
8469_2022,2022-04-17,5234765.218277919,107,2022,2.2879609302341506
8469_2022,2022-04-18,4693883.465166945,108,2022,2.1665372060426162
8469_2022,2022-04-19,4363855.774980524,109,2022,2.0889843884003834
8469_2022,2022-04-20,5231654.705731211,110,2022,2.2872810727436215
8469_2022,2022-04-21,5018035.305256621,111,2022,2.240097164244583
8469_2022,2022-04-22,5052806.411718714,112,2022,2.247844837109251
8469_2022,2022-04-23,6601471.253237032,113,2022,2.5693328420500587
8469_2022,2022-04-24,6444149.687041607,114,2022,2.538532979309429
8469_2022,2022-04-25,6166683.976105723,115,2022,2.483280889489895
8469_2022,2022-04-26,5972358.082028008,116,2022,2.4438408462966668
8469_2022,2022-04-27,5965338.778395336,117,2022,2.4424043028121565
8469_2022,2022-04-28,6164067.877555616,118,2022,2.4827540912373127
8469_2022,2022-04-29,6333932.444793198,119,2022,2.516730506985839
8469_2022,2022-04-30,11066044.53855425,120,2022,3.3265664789019698
