BirdID,jdate,daily_nsd,days_numeric,year,nsd_plot_data
9017_2023,2023-03-06,358820.85903856216,65,2023,0.599016576597478
9017_2023,2023-03-07,355899.2932620721,66,2023,0.5965729571997646
9017_2023,2023-03-08,149163.46769616226,67,2023,0.38621686614667966
9017_2023,2023-03-09,195527.0480700874,68,2023,0.44218440505075185
9017_2023,2023-03-10,83492.96020050693,69,2023,0.28895148416387645
9017_2023,2023-03-11,48673.114771527195,70,2023,0.2206198421981287
9017_2023,2023-03-12,132739.97781524155,71,2023,0.3643349802245751
9017_2023,2023-03-13,67068.338690616,72,2023,0.25897555616431445
9017_2023,2023-03-14,26934.3440618364,73,2023,0.16411686099190542
9017_2023,2023-03-15,48462.88646033617,74,2023,0.22014287737816132
9017_2023,2023-03-16,70023.5537618345,75,2023,0.26461963978857367
9017_2023,2023-03-17,66286.14748902456,76,2023,0.25746096303910726
9017_2023,2023-03-18,188684.20829635244,77,2023,0.43437795558286846
9017_2023,2023-03-19,460583.3190825987,78,2023,0.6786628906037214
9017_2023,2023-03-20,168812.05807212577,79,2023,0.4108674458656049
9017_2023,2023-03-21,168764.39735873725,80,2023,0.41080944166211325
9017_2023,2023-03-22,364824.94844757183,81,2023,0.6040074076098503
9017_2023,2023-03-23,464924.2420284855,82,2023,0.681853534146803
9017_2023,2023-03-24,432310.538880723,83,2023,0.657503261498164
9017_2023,2023-03-25,489736.57338921825,84,2023,0.6998118128391505
9017_2023,2023-03-26,329358.67693353345,85,2023,0.5738977931073908
9017_2023,2023-03-27,485077.3577335576,86,2023,0.6964749512606735
9017_2023,2023-03-28,753760.7849438661,87,2023,0.8681939788687008
9017_2023,2023-03-29,449777.2242124045,88,2023,0.670654325425852
9017_2023,2023-03-30,442264.67558811937,89,2023,0.6650298306001914
9017_2023,2023-03-31,2502120.350311685,90,2023,1.581809201614305
9017_2023,2023-04-01,9094198.152064933,91,2023,3.0156588255412666
9017_2023,2023-04-02,11749036.424183507,92,2023,3.4276867453405813
9017_2023,2023-04-03,2525838.1732423706,93,2023,1.5892885745648493
9017_2023,2023-04-04,886021.019403128,94,2023,0.9412868953741617
9017_2023,2023-04-05,2565157.518681157,95,2023,1.6016109136370036
9017_2023,2023-04-06,9616977.73550196,96,2023,3.1011252369909155
9017_2023,2023-04-07,9903953.368807476,97,2023,3.1470547133482563
9017_2023,2023-04-08,875611.1357141001,98,2023,0.9357409554540722
9017_2023,2023-04-09,426152.40963353054,99,2023,0.6528035000162994
9017_2023,2023-04-10,2172872.106602617,100,2023,1.4740665204130432
9017_2023,2023-04-11,1844117.7478388036,101,2023,1.3579829703787907
9017_2023,2023-04-12,1022936.2062703271,102,2023,1.0114030879280165
9017_2023,2023-04-13,856815.125523439,103,2023,0.9256430875469438
9017_2023,2023-04-14,1196607.63687905,104,2023,1.0938956243074793
9017_2023,2023-04-15,1324098.8780848274,105,2023,1.1506949544013947
9017_2023,2023-04-16,4497547.326796016,106,2023,2.120742164148206
9017_2023,2023-04-17,4467845.826116327,107,2023,2.1137279451519597
9017_2023,2023-04-18,4483936.237794481,108,2023,2.117530693471639
9017_2023,2023-04-19,5077568.983601693,109,2023,2.253346174825717
9017_2023,2023-04-20,2948333.05035101,110,2023,1.7170710673559817
9017_2023,2023-04-21,3714427.8419929207,111,2023,1.9272850961891759
9017_2023,2023-04-26,4907911.338138636,116,2023,2.2153806305325134
9017_2023,2023-04-27,6132045.917896345,117,2023,2.4762968153871108
9017_2023,2023-04-28,8493186.291209908,118,2023,2.9143071717322298
9017_2023,2023-04-29,3064194.1137272804,119,2023,1.7504839655727442
9017_2023,2023-04-30,9245049.101831574,120,2023,3.040567233565404
