BirdID,name,mean,lower,upper,Rhat,n.eff
4660_2022,int_1,1.599018838,1.428304286,1.768606703,1.000135351,25939
4660_2022,int_2,2.327711585,2.180984992,2.476882714,1.000326271,27161
4660_2022,sigma_1,0.403843356,0.325333029,0.486019274,1.000124698,21452
4660_2023,cp_1,101.6711747,98.54464914,105.4512994,1.001197788,11506
4660_2023,int_1,1.626026512,1.301094401,1.954370365,1.00012424,22939
4660_2023,int_2,0.364319728,-0.06241066,0.814345885,1.000242315,23855
4660_2023,sigma_1,0.928817794,0.755647506,1.118875804,1.000073392,20117
4662_2022,cp_1,91.63014604,90.63497118,92.99985035,1.00037341,17576
4662_2022,int_1,0.391295019,0.277314545,0.501497271,1.000102675,26263
4662_2022,int_2,1.173807064,1.072686127,1.275590485,1.000183298,27118
4662_2022,sigma_1,0.272105804,0.221109237,0.330726687,1.000347687,20443
4664_2022,cp_1,85.6832384,85.00003252,86.82583746,1.008790881,12715
4664_2022,int_1,0.463005714,0.312241143,0.610448933,1.000194255,19204
4664_2022,int_2,1.129432588,1.059034455,1.199801238,1.00003231,26024
4664_2022,sigma_1,0.207013949,0.163896575,0.255903265,1.000265671,18492
4699_2022,cp_1,47.50277142,47.02042442,47.97258964,1.000050504,29757
4699_2022,int_1,0.021713342,0.017128889,0.026289961,1.000355187,27170
4699_2022,int_2,0.057681144,0.055143528,0.060201475,1.000221741,26320
4699_2022,sigma_1,0.0060675,0.004532786,0.0078255,1.00010546,19542
8164_2022,cp_1,65.94199269,63.99596957,67.67583335,1.000041033,7275
8164_2022,int_1,0.930927,0.767879792,1.093123105,1.000546417,25939
8164_2022,int_2,1.946915526,1.816564513,2.077948696,1.000008098,23545
8164_2022,sigma_1,0.469753886,0.399706896,0.545154311,1.000068774,22844
8165_2022,cp_1,38.09239878,35.99966571,41.49987588,1.000005507,9563
8165_2022,int_1,0.169108917,-0.128348003,0.45408719,1.000230727,12180
8165_2022,int_2,0.728908555,0.660719132,0.797402116,1.000143841,25793
8165_2022,sigma_1,0.250799916,0.205414987,0.299279801,1.000031033,21671
8166_2022,cp_1,65.98263049,64.04079393,67.98931963,1.000202968,7727
8166_2022,int_1,0.481069582,0.28807067,0.673434037,1.000191193,26973
8166_2022,int_2,1.496492013,1.24320425,1.738308485,1.000168415,20694
8166_2022,sigma_1,0.546382078,0.43847607,0.656274718,1.000085717,19845
8168_2022,cp_1,66.1448533,64.27358466,66.9999293,1.00059957,7513
8168_2022,int_1,0.747607996,0.545316619,0.948957874,1.00008754,27510
8168_2022,int_2,2.207823777,2.048765444,2.362012878,1.00000515,23176
8168_2022,sigma_1,0.578727926,0.492613998,0.668643311,1.00011704,22375
8168_2023,cp_1,66.51398634,66.0117531,66.97484516,1.000183241,23859
8168_2023,int_1,0.508333352,0.354294642,0.659165516,1.000050436,27225
8168_2023,int_2,3.1148455,2.994486078,3.237218001,1.000377949,27434
8168_2023,sigma_1,0.452593926,0.386064428,0.522498736,1.000038568,23908
8169_2022,cp_1,66.6700877,66.00017735,67.98916266,1.000027941,17974
8169_2022,int_1,0.608667564,0.376171526,0.844802438,1.000047117,25987
8169_2022,int_2,2.667214761,2.484816116,2.849145522,1.000047769,27454
8169_2022,sigma_1,0.677139114,0.580254328,0.783739413,1.000121139,24363
8172_2022,cp_1,75.92525462,73.05051092,77.9997353,1.000132651,4681
