BandID,BirdID,age,studyarea,captyr,Yr,name,mean,upper,lower,LPDV,Status,yrsincecap
8165,8165_2022,1,2D,2022,2022,sigma_1,0.250799916,0.299279801,0.205414987,1,0,0
8166,8166_2022,0,2D,2022,2022,cp_1,65.98263049,67.98931963,64.04079393,1,0,0
8166,8166_2022,0,2D,2022,2022,int_1,0.481069582,0.673434037,0.28807067,1,0,0
8166,8166_2022,0,2D,2022,2022,int_2,1.496492013,1.738308485,1.24320425,1,0,0
8166,8166_2022,0,2D,2022,2022,sigma_1,0.546382078,0.656274718,0.43847607,1,0,0
8168,8168_2022,0,2D,2022,2022,cp_1,66.1448533,66.9999293,64.27358466,1,0,0
8168,8168_2022,0,2D,2022,2022,int_1,0.747607996,0.948957874,0.545316619,1,0,0
8168,8168_2022,0,2D,2022,2022,int_2,2.207823777,2.362012878,2.048765444,1,0,0
8168,8168_2022,0,2D,2022,2022,sigma_1,0.578727926,0.668643311,0.492613998,1,0,0
8168,8168_2023,0,2D,2022,2023,cp_1,66.51398634,66.97484516,66.0117531,1,1,1
8168,8168_2023,0,2D,2022,2023,int_1,0.508333352,0.659165516,0.354294642,1,1,1
8168,8168_2023,0,2D,2022,2023,int_2,3.1148455,3.237218001,2.994486078,1,1,1
8168,8168_2023,0,2D,2022,2023,sigma_1,0.452593926,0.522498736,0.386064428,1,1,1
8169,8169_2022,0,2D,2022,2022,cp_1,66.6700877,67.98916266,66.00017735,1,1,0
8169,8169_2022,0,2D,2022,2022,int_1,0.608667564,0.844802438,0.376171526,1,1,0
8169,8169_2022,0,2D,2022,2022,int_2,2.667214761,2.849145522,2.484816116,1,1,0
8169,8169_2022,0,2D,2022,2022,sigma_1,0.677139114,0.783739413,0.580254328,1,1,0
8172,8172_2022,1,2D,2022,2022,cp_1,75.92525462,77.9997353,73.05051092,1,0,0
8172,8172_2022,1,2D,2022,2022,int_1,0.266288623,0.467820546,0.060022205,1,0,0
8172,8172_2022,1,2D,2022,2022,int_2,0.871269345,0.9515454,0.7932603,1,0,0
8172,8172_2022,1,2D,2022,2022,sigma_1,0.25327,0.306861354,0.206251311,1,0,0
8173,8173_2022,0,2D,2022,2022,cp_1,76.99238429,78.44502476,73.99988883,1,0,0
8173,8173_2022,0,2D,2022,2022,int_1,0.611900146,0.796224619,0.423143594,1,0,0
8173,8173_2022,0,2D,2022,2022,int_2,1.349498667,1.427077667,1.272481125,1,0,0
8173,8173_2022,0,2D,2022,2022,sigma_1,0.245983039,0.296500232,0.197548318,1,0,0
8174,8174_2023,0,2D,2022,2023,cp_1,101.5367941,101.9962787,101.0038119,1,0,1
8174,8174_2023,0,2D,2022,2023,int_1,0.381720309,0.558603589,0.196029909,1,0,1
8174,8174_2023,0,2D,2022,2023,int_2,2.159710761,2.40567842,1.912263131,1,0,1
8174,8174_2023,0,2D,2022,2023,sigma_1,0.542292439,0.653785391,0.440814491,1,0,1
8174,8174_2022,0,2D,2022,2022,NA,NA,NA,NA,1,0,0
8175,8175_2022,1,2D,2022,2022,cp_1,74.38906594,79.35604405,71.0497322,1,0,0
8175,8175_2022,1,2D,2022,2022,int_1,0.782187075,1.053665592,0.541407637,1,0,0
8175,8175_2022,1,2D,2022,2022,int_2,1.37429069,1.452579578,1.296946348,1,0,0
8175,8175_2022,1,2D,2022,2022,sigma_1,0.252839292,0.304705148,0.204055355,1,0,0
8176,8176_2023,0,2D,2022,2023,cp_1,89.77138053,110.7038634,78.04234535,1,0,1
8176,8176_2023,0,2D,2022,2023,int_1,0.29734769,0.436046844,0.154609609,1,0,1
8176,8176_2023,0,2D,2022,2023,int_2,0.577411656,0.716934746,0.435940763,1,0,1
8176,8176_2023,0,2D,2022,2023,sigma_1,0.259549624,0.316823795,0.207397049,1,0,1
8176,8176_2022,1,2D,2022,2022,NA,NA,NA,NA,1,0,0
8177,8177_2022,0,2D,2022,2022,cp_1,70.11304656,73.9562114,67.7552119,1,0,0
8177,8177_2022,0,2D,2022,2022,int_1,0.429585847,0.67061756,0.20296951,1,0,0
8177,8177_2022,0,2D,2022,2022,int_2,1.357240875,1.464566637,1.24891334,1,0,0
8177,8177_2022,0,2D,2022,2022,sigma_1,0.348147103,0.412120255,0.287724647,1,0,0
8179,8179_2022,0,2D,2022,2022,cp_1,64.76261531,65.82414131,64.00018889,1,0,0
8179,8179_2022,0,2D,2022,2022,int_1,0.978280825,1.096685283,0.856560419,1,0,0
8179,8179_2022,0,2D,2022,2022,int_2,1.78122174,1.824970946,1.734265536,1,0,0
8179,8179_2022,0,2D,2022,2022,sigma_1,0.171031512,0.202757231,0.142099713,1,0,0
8180,8180_2022,1,2D,2022,2022,cp_1,109.8268434,112.0046077,102.8114245,1,0,0
8180,8180_2022,1,2D,2022,2022,int_1,0.966905373,1.02108991,0.910352243,1,0,0
8180,8180_2022,1,2D,2022,2022,int_2,1.522174212,1.66481243,1.357608555,1,0,0
8180,8180_2022,1,2D,2022,2022,sigma_1,0.191711801,0.226987648,0.158455357,1,0,0
8180,8180_2023,0,2D,2022,2023,cp_1,68.44930717,70.99988205,61.01493103,1,0,1
8180,8180_2023,0,2D,2022,2023,int_1,0.664585554,0.900157866,0.410776484,1,0,1
8180,8180_2023,0,2D,2022,2023,int_2,1.329667588,1.447931774,1.206276341,1,0,1
8180,8180_2023,0,2D,2022,2023,sigma_1,0.36527421,0.439624761,0.29729007,1,0,1
8181,8181_2022,1,2D,2022,2022,cp_1,80.00314319,113.4764202,56.00111672,1,0,0
8181,8181_2022,1,2D,2022,2022,int_1,0.679790303,0.909317154,0.437832453,1,0,0
8181,8181_2022,1,2D,2022,2022,int_2,0.765496978,0.894008903,0.570639454,1,0,0
8181,8181_2022,1,2D,2022,2022,sigma_1,0.285657561,0.337128643,0.237416514,1,0,0
8181,8181_2023,0,2D,2022,2023,cp_1,95.47188718,97.34689415,90.00030703,1,0,1
8181,8181_2023,0,2D,2022,2023,int_1,0.476523627,0.583561584,0.366794156,1,0,1
8181,8181_2023,0,2D,2022,2023,int_2,1.410012688,1.548976644,1.259318227,1,0,1
8181,8181_2023,0,2D,2022,2023,sigma_1,0.328367016,0.388857865,0.273143145,1,0,1
8183,8183_2022,1,2D,2022,2022,cp_1,90.50045748,90.9950769,90.04590385,1,1,0
8183,8183_2022,1,2D,2022,2022,int_1,1.337038966,1.544689072,1.12843887,1,1,0
8183,8183_2022,1,2D,2022,2022,int_2,9.247306955,9.474329626,9.023601511,1,1,0
8183,8183_2022,1,2D,2022,2022,sigma_1,0.629576053,0.746337171,0.524994415,1,1,0
8183,8183_2023,0,2D,2022,2023,cp_1,111.0774563,112.0000637,109.1599988,1,0,1
8183,8183_2023,0,2D,2022,2023,int_1,0.686043475,0.766586193,0.607383385,1,0,1
8183,8183_2023,0,2D,2022,2023,int_2,1.488843518,1.695046312,1.28120879,1,0,1
8183,8183_2023,0,2D,2022,2023,sigma_1,0.300500385,0.357096426,0.250652766,1,0,1
8184,8184_2022,0,2D,2022,2022,cp_1,90.50044146,90.97446362,90.02519894,0,1,0
