"NestID","date","nsd_daily_mean","displacement","t_","days_numeric","BirdID"
"9062_2023_1",2023-02-07,103633.969689584,126.396241034117,2023-02-07 15:00:41,38,"9062_2023"
"9062_2023_1",2023-02-08,32671.6804474297,51.0870891211355,2023-02-07 15:00:41,39,"9062_2023"
"9062_2023_1",2023-02-09,391243.699559782,110.622165558529,2023-02-07 15:00:41,40,"9062_2023"
"9062_2023_1",2023-02-10,94579.9717187204,65.2725630384795,2023-02-07 15:00:41,41,"9062_2023"
"9062_2023_1",2023-02-11,471524.907092543,79.5144746379449,2023-02-07 15:00:41,42,"9062_2023"
"9062_2023_1",2023-02-12,1145201.71339926,171.435963372588,2023-02-07 15:00:41,43,"9062_2023"
"9062_2023_1",2023-02-13,67249.7690650621,60.8973989330669,2023-02-07 15:00:41,44,"9062_2023"
"9062_2023_1",2023-02-14,4295029.63263659,218.62020971139,2023-02-07 15:00:41,45,"9062_2023"
"9062_2023_1",2023-02-15,91984.2927847458,133.034640913985,2023-02-07 15:00:41,46,"9062_2023"
"9062_2023_1",2023-02-16,88231.0215241464,76.94075004141,2023-02-07 15:00:41,47,"9062_2023"
"9062_2023_1",2023-02-17,1029824.9779182,110.611147151294,2023-02-07 15:00:41,48,"9062_2023"
"9062_2023_1",2023-02-18,260813.920548055,87.0748670968459,2023-02-07 15:00:41,49,"9062_2023"
"9062_2023_1",2023-02-19,57705.2792757688,89.6979450142395,2023-02-07 15:00:41,50,"9062_2023"
"9062_2023_1",2023-02-20,187186.664528626,88.1973918387801,2023-02-07 15:00:41,51,"9062_2023"
"9062_2023_1",2023-02-21,37829.5684441107,63.2143402666159,2023-02-07 15:00:41,52,"9062_2023"
"9062_2023_1",2023-02-22,61999.2814473357,76.282300818701,2023-02-07 15:00:41,53,"9062_2023"
"9062_2023_1",2023-02-23,475340.632774863,108.000556175958,2023-02-07 15:00:41,54,"9062_2023"
"9062_2023_1",2023-02-24,22904.1719043594,59.2054359493222,2023-02-07 15:00:41,55,"9062_2023"
"9062_2023_1",2023-02-25,74568.1200665606,63.7774303357957,2023-02-07 15:00:41,56,"9062_2023"
"9062_2023_1",2023-02-26,51139.8837113202,88.1973391118314,2023-02-07 15:00:41,57,"9062_2023"
"9062_2023_1",2023-02-27,21113.8481172243,54.8006099986655,2023-02-07 15:00:41,58,"9062_2023"
"9062_2023_1",2023-02-28,102611.582562055,79.6132712625433,2023-02-07 15:00:41,59,"9062_2023"
"9062_2023_1",2023-03-01,157454.904378668,66.510474271986,2023-02-07 15:00:41,60,"9062_2023"
"9062_2023_1",2023-03-02,135191.577884441,74.0699708457175,2023-02-07 15:00:41,61,"9062_2023"
"9062_2023_1",2023-03-03,34693.0421039137,78.8565407662985,2023-02-07 15:00:41,62,"9062_2023"
"9062_2023_1",2023-03-04,75159.2672859791,50.3321829834399,2023-02-07 15:00:41,63,"9062_2023"
"9062_2023_1",2023-03-05,11906.8300830415,58.6024197122743,2023-02-07 15:00:41,64,"9062_2023"
"9062_2023_1",2023-03-06,36468.6495359254,67.7350507405795,2023-02-07 15:00:41,65,"9062_2023"
"9062_2023_1",2023-03-07,140679.342686714,60.4282482848194,2023-02-07 15:00:41,66,"9062_2023"
"9062_2023_1",2023-03-08,24089.1690788615,33.9758163742976,2023-02-07 15:00:41,67,"9062_2023"
"9062_2023_1",2023-03-09,23749.4500400062,57.1148772923198,2023-02-07 15:00:41,68,"9062_2023"
"9062_2023_1",2023-03-10,53224.3868044557,44.9858677828913,2023-02-07 15:00:41,69,"9062_2023"
"9062_2023_1",2023-03-11,29906.9864180622,55.7278019240691,2023-02-07 15:00:41,70,"9062_2023"
"9062_2023_1",2023-03-12,16165.4731657297,88.5840888777472,2023-02-07 15:00:41,71,"9062_2023"
"9062_2023_1",2023-03-13,277058.064297651,86.2936772316012,2023-02-07 15:00:41,72,"9062_2023"
"9062_2023_1",2023-03-14,79915.7900714789,64.544142846281,2023-02-07 15:00:41,73,"9062_2023"
"9062_2023_1",2023-03-15,3865.79850991127,36.5705385571986,2023-02-07 15:00:41,74,"9062_2023"
"9062_2023_1",2023-03-16,50072.7418652114,65.7229359792585,2023-02-07 15:00:41,75,"9062_2023"
"9062_2023_1",2023-03-17,172053.551670629,92.4435348416204,2023-02-07 15:00:41,76,"9062_2023"
"9062_2023_1",2023-03-18,216503.072685198,73.0499755438088,2023-02-07 15:00:41,77,"9062_2023"
"9062_2023_1",2023-03-19,27792.6715093451,45.8247746805851,2023-02-07 15:00:41,78,"9062_2023"
"9062_2023_1",2023-03-20,120766.802025865,72.0910111009885,2023-02-07 15:00:41,79,"9062_2023"
"9062_2023_1",2023-03-21,4713.03803506388,44.1326904123751,2023-02-07 15:00:41,80,"9062_2023"
"9062_2023_1",2023-03-22,768718.9147559,105.73030782168,2023-02-07 15:00:41,81,"9062_2023"
"9062_2023_1",2023-03-23,45060.5954265587,75.0583719001463,2023-02-07 15:00:41,82,"9062_2023"
"9062_2023_1",2023-03-24,208953.431232694,59.5033935818999,2023-02-07 15:00:41,83,"9062_2023"
"9062_2023_1",2023-03-25,1053512.25259704,119.747960481328,2023-02-07 15:00:41,84,"9062_2023"
"9062_2023_1",2023-03-26,14540.1065707521,69.594948300064,2023-02-07 15:00:41,85,"9062_2023"
"9062_2023_1",2023-03-27,998146.963922478,137.550389132277,2023-02-07 15:00:41,86,"9062_2023"
"9062_2023_1",2023-03-28,3068.14639687618,37.7562925572973,2023-02-07 15:00:41,87,"9062_2023"
"9062_2023_1",2023-03-29,7116.89240611572,48.2902080180655,2023-02-07 15:00:41,88,"9062_2023"
"9062_2023_1",2023-03-30,343426.680366313,71.7204847407322,2023-02-07 15:00:41,89,"9062_2023"
"9062_2023_1",2023-03-31,233135.25021126,73.9987970169061,2023-02-07 15:00:41,90,"9062_2023"
"9062_2023_1",2023-04-01,778039.482072257,154.839987546859,2023-02-07 15:00:41,91,"9062_2023"
"9062_2023_1",2023-04-02,48544.6001792727,46.8635924780437,2023-02-07 15:00:41,92,"9062_2023"
"9062_2023_1",2023-04-03,7714.7688547238,57.1106545824336,2023-02-07 15:00:41,93,"9062_2023"
"9062_2023_1",2023-04-04,4802.70808557306,39.0446122661184,2023-02-07 15:00:41,94,"9062_2023"
"9062_2023_1",2023-04-05,1418269.37160463,145.04806416108,2023-02-07 15:00:41,95,"9062_2023"
"9062_2023_1",2023-04-06,150646.76920636,116.316566734617,2023-02-07 15:00:41,96,"9062_2023"
"9062_2023_1",2023-04-07,1381407.9119431,143.469805925507,2023-02-07 15:00:41,97,"9062_2023"
"9062_2023_1",2023-04-08,428237.596382995,69.1503620922576,2023-02-07 15:00:41,98,"9062_2023"
"9062_2023_1",2023-04-09,622701.352870209,95.6085850362879,2023-02-07 15:00:41,99,"9062_2023"
"9062_2023_1",2023-04-10,120978.268023164,90.0201059063961,2023-02-07 15:00:41,100,"9062_2023"
"9062_2023_1",2023-04-11,39475.2353632667,88.4967402269825,2023-02-07 15:00:41,101,"9062_2023"
"9062_2023_1",2023-04-12,105463.94603966,174.472388677637,2023-02-07 15:00:41,102,"9062_2023"
"9062_2023_1",2023-04-13,7514845.29692442,266.044606924305,2023-02-07 15:00:41,103,"9062_2023"
"9062_2023_1",2023-04-14,280618.671916935,106.102467008153,2023-02-07 15:00:41,104,"9062_2023"
"9062_2023_1",2023-04-15,57298.7440185295,125.076047943871,2023-02-07 15:00:41,105,"9062_2023"
"9062_2023_1",2023-04-16,116861.495002368,116.818629088811,2023-02-07 15:00:41,106,"9062_2023"
"9062_2023_1",2023-04-17,73410.5486384116,122.239960773342,2023-02-07 15:00:41,107,"9062_2023"
"9062_2023_1",2023-04-18,271325.423857863,114.530890571706,2023-02-07 15:00:41,108,"9062_2023"
"9062_2023_1",2023-04-19,166598.224470441,117.803464521479,2023-02-07 15:00:41,109,"9062_2023"
"9062_2023_1",2023-04-20,67193.9626519467,113.768873120705,2023-02-07 15:00:41,110,"9062_2023"
"9062_2023_1",2023-04-21,366003.458536706,134.739396955262,2023-02-07 15:00:41,111,"9062_2023"
"9062_2023_1",2023-04-22,108675.594265127,95.585147936374,2023-02-07 15:00:41,112,"9062_2023"
"9062_2023_1",2023-04-23,566716.473485414,133.856095196334,2023-02-07 15:00:41,113,"9062_2023"
"9062_2023_1",2023-04-24,58829.6261994551,107.609500271826,2023-02-07 15:00:41,114,"9062_2023"
"9062_2023_1",2023-04-25,146798.563825214,93.2706141548997,2023-02-07 15:00:41,115,"9062_2023"
"9062_2023_1",2023-04-26,175130.999890366,83.6265050279694,2023-02-07 15:00:41,116,"9062_2023"
"9062_2023_1",2023-04-27,99464.800865321,76.2644137913528,2023-02-07 15:00:41,117,"9062_2023"
"9062_2023_1",2023-04-28,152194.547833529,76.043655261878,2023-02-07 15:00:41,118,"9062_2023"
"9062_2023_1",2023-04-29,149108.756136551,60.0353081941357,2023-02-07 15:00:41,119,"9062_2023"
"9062_2023_1",2023-04-30,165329.579740684,78.0795523775173,2023-02-07 15:00:41,120,"9062_2023"
"9062_2023_1",2023-05-01,120771.786473737,61.9985317773382,2023-02-07 15:00:41,121,"9062_2023"
"9062_2023_1",2023-05-02,102371.901205287,69.7305713662559,2023-02-07 15:00:41,122,"9062_2023"
"9062_2023_1",2023-05-03,160855.159385822,89.0684549047139,2023-02-07 15:00:41,123,"9062_2023"
"9062_2023_1",2023-05-04,130453.853889669,88.5871613538741,2023-02-07 15:00:41,124,"9062_2023"
"9062_2023_1",2023-05-05,168831.585592482,74.5782539500452,2023-02-07 15:00:41,125,"9062_2023"
"9062_2023_1",2023-05-06,144622.457060731,74.2991456192595,2023-02-07 15:00:41,126,"9062_2023"
"9062_2023_1",2023-05-07,84763.1543625792,79.0728416475317,2023-02-07 15:00:41,127,"9062_2023"
"9062_2023_1",2023-05-08,109888.907763509,87.8040692785955,2023-02-07 15:00:41,128,"9062_2023"
"9062_2023_1",2023-05-09,49230.1681785993,57.6410229085501,2023-02-07 15:00:41,129,"9062_2023"
"9062_2023_1",2023-05-10,149026.24759272,92.4015088358312,2023-02-07 15:00:41,130,"9062_2023"
"9062_2023_1",2023-05-11,484738.841064525,144.624570774909,2023-02-07 15:00:41,131,"9062_2023"
"9062_2023_1",2023-05-12,16624.6792878492,63.842281109801,2023-02-07 15:00:41,132,"9062_2023"
"9062_2023_1",2023-05-13,63598.8315146316,71.4924339799291,2023-02-07 15:00:41,133,"9062_2023"
"9062_2023_1",2023-05-14,1255005.58584885,390.607395485338,2023-02-07 15:00:41,134,"9062_2023"
"9062_2023_1",2023-05-15,86488.0490992343,71.3604914900529,2023-02-07 15:00:41,135,"9062_2023"
"9062_2023_1",2023-05-16,33699.0005697504,79.0012505676217,2023-02-07 15:00:41,136,"9062_2023"
"9062_2023_1",2023-05-17,43255.8781078782,90.029830072578,2023-02-07 15:00:41,137,"9062_2023"
"9062_2023_1",2023-05-18,35379.8677213996,88.166891914992,2023-02-07 15:00:41,138,"9062_2023"
"9062_2023_1",2023-05-19,61830.797942256,91.1118740956464,2023-02-07 15:00:41,139,"9062_2023"
"9062_2023_1",2023-05-20,53562.4597259859,105.572211769705,2023-02-07 15:00:41,140,"9062_2023"
"9062_2023_1",2023-05-21,86361.9976666404,76.7147629157252,2023-02-07 15:00:41,141,"9062_2023"
"9062_2023_1",2023-05-22,103714.971025877,78.5601522862323,2023-02-07 15:00:41,142,"9062_2023"
"9062_2023_1",2023-05-23,132765.572971767,85.8074030650033,2023-02-07 15:00:41,143,"9062_2023"
"9062_2023_1",2023-05-24,189186.667381521,86.6558834275316,2023-02-07 15:00:41,144,"9062_2023"
"9062_2023_1",2023-05-25,185231.025472959,92.3904359003492,2023-02-07 15:00:41,145,"9062_2023"
"9062_2023_1",2023-05-26,1711929.89219546,140.194750784332,2023-02-07 15:00:41,146,"9062_2023"
"9062_2023_1",2023-05-27,866282.403516111,75.2670245371529,2023-02-07 15:00:41,147,"9062_2023"
"9062_2023_1",2023-05-28,430128.446930515,116.793835188101,2023-02-07 15:00:41,148,"9062_2023"
"9062_2023_1",2023-05-29,312763.163036326,108.590835751381,2023-02-07 15:00:41,149,"9062_2023"
"9062_2023_1",2023-05-30,139841.356844588,72.0080871386124,2023-02-07 15:00:41,150,"9062_2023"
"9062_2023_1",2023-05-31,242324.95650542,69.0749580006825,2023-02-07 15:00:41,151,"9062_2023"
