"NestID","date","nsd_daily_mean","displacement","t_","days_numeric","BirdID"
"4255_2022_1",2022-02-01,84326.2002805581,61.0724323443863,2022-01-29 08:00:23,32,"4255_2022"
"4255_2022_1",2022-02-02,161123.618705743,83.266183060314,2022-01-29 08:00:23,33,"4255_2022"
"4255_2022_1",2022-02-03,146313.334861138,83.6066568884478,2022-01-29 08:00:23,34,"4255_2022"
"4255_2022_1",2022-02-04,91160.4847000464,53.450463313329,2022-01-29 08:00:23,35,"4255_2022"
"4255_2022_1",2022-02-05,55958.4775988703,92.1405203689141,2022-01-29 08:00:23,36,"4255_2022"
"4255_2022_1",2022-02-06,805760.729216552,155.055593972206,2022-01-29 08:00:23,37,"4255_2022"
"4255_2022_1",2022-02-07,896737.864280676,172.847123509964,2022-01-29 08:00:23,38,"4255_2022"
"4255_2022_1",2022-02-08,659322.271718288,142.822542282416,2022-01-29 08:00:23,39,"4255_2022"
"4255_2022_1",2022-02-09,224818.671881559,106.47844763838,2022-01-29 08:00:23,40,"4255_2022"
"4255_2022_1",2022-02-10,604075.181205049,158.104301748564,2022-01-29 08:00:23,41,"4255_2022"
"4255_2022_1",2022-02-11,939314.137176501,177.575701087395,2022-01-29 08:00:23,42,"4255_2022"
"4255_2022_1",2022-02-12,1003975.39459491,141.056888747311,2022-01-29 08:00:23,43,"4255_2022"
"4255_2022_1",2022-02-13,36096.1813167244,59.7212821765753,2022-01-29 08:00:23,44,"4255_2022"
"4255_2022_1",2022-02-14,50682.8717294502,59.6685135580314,2022-01-29 08:00:23,45,"4255_2022"
"4255_2022_1",2022-02-15,798093.781129451,147.550693949922,2022-01-29 08:00:23,46,"4255_2022"
"4255_2022_1",2022-02-16,261539.848068455,126.390969836683,2022-01-29 08:00:23,47,"4255_2022"
"4255_2022_1",2022-02-17,1227882.99677932,162.523559423932,2022-01-29 08:00:23,48,"4255_2022"
"4255_2022_1",2022-02-18,421727.018511779,135.838723368736,2022-01-29 08:00:23,49,"4255_2022"
"4255_2022_1",2022-02-19,107223.399957889,86.6122817961353,2022-01-29 08:00:23,50,"4255_2022"
"4255_2022_1",2022-02-20,979591.291177225,141.397633159398,2022-01-29 08:00:23,51,"4255_2022"
"4255_2022_1",2022-02-21,1277573.65246909,147.131783513429,2022-01-29 08:00:23,52,"4255_2022"
"4255_2022_1",2022-02-22,926257.464783244,151.264163542293,2022-01-29 08:00:23,53,"4255_2022"
"4255_2022_1",2022-02-23,545104.436176154,118.613970377814,2022-01-29 08:00:23,54,"4255_2022"
"4255_2022_1",2022-02-24,223017.44258074,96.1488185810383,2022-01-29 08:00:23,55,"4255_2022"
"4255_2022_1",2022-02-25,22776.768862861,50.2348906333864,2022-01-29 08:00:23,56,"4255_2022"
"4255_2022_1",2022-02-26,756001.88229484,156.874830319631,2022-01-29 08:00:23,57,"4255_2022"
"4255_2022_1",2022-02-27,129200.827485731,83.6294858802833,2022-01-29 08:00:23,58,"4255_2022"
"4255_2022_1",2022-02-28,73058.6827864328,64.0693869594716,2022-01-29 08:00:23,59,"4255_2022"
"4255_2022_1",2022-03-01,1141246.48197075,176.527503779748,2022-01-29 08:00:23,60,"4255_2022"
"4255_2022_1",2022-03-02,1371692.53760267,140.858607363006,2022-01-29 08:00:23,61,"4255_2022"
"4255_2022_1",2022-03-03,323667.874041355,121.40210295467,2022-01-29 08:00:23,62,"4255_2022"
"4255_2022_1",2022-03-04,1069055.11246758,138.357327669499,2022-01-29 08:00:23,63,"4255_2022"
"4255_2022_1",2022-03-05,1048145.97063031,133.787752450811,2022-01-29 08:00:23,64,"4255_2022"
"4255_2022_1",2022-03-06,2149854.8598234,109.806158507276,2022-01-29 08:00:23,65,"4255_2022"
"4255_2022_1",2022-03-07,101736.809092859,66.9990850689985,2022-01-29 08:00:23,66,"4255_2022"
"4255_2022_1",2022-03-08,357415.202409575,128.040658829354,2022-01-29 08:00:23,67,"4255_2022"
"4255_2022_1",2022-03-09,300075.589507675,93.5957940269149,2022-01-29 08:00:23,68,"4255_2022"
"4255_2022_1",2022-03-10,193893.601083343,78.0243056678753,2022-01-29 08:00:23,69,"4255_2022"
"4255_2022_1",2022-03-11,2438459.19436417,110.779892558221,2022-01-29 08:00:23,70,"4255_2022"
"4255_2022_1",2022-03-12,108077.180357526,59.3266959257131,2022-01-29 08:00:23,71,"4255_2022"
"4255_2022_1",2022-03-13,109796.504721757,66.8632384259127,2022-01-29 08:00:23,72,"4255_2022"
"4255_2022_1",2022-03-14,159702.512049597,60.8971940566272,2022-01-29 08:00:23,73,"4255_2022"
"4255_2022_1",2022-03-15,283344.016790179,101.711106108097,2022-01-29 08:00:23,74,"4255_2022"
"4255_2022_1",2022-03-16,252132.069644733,83.3296956785524,2022-01-29 08:00:23,75,"4255_2022"
"4255_2022_1",2022-03-17,139415.767306376,76.6449115958492,2022-01-29 08:00:23,76,"4255_2022"
"4255_2022_1",2022-03-18,291677.695715078,111.88007197803,2022-01-29 08:00:23,77,"4255_2022"
"4255_2022_1",2022-03-19,91156.11801826,77.6892815430804,2022-01-29 08:00:23,78,"4255_2022"
"4255_2022_1",2022-03-20,717722.007737889,132.7102144215,2022-01-29 08:00:23,79,"4255_2022"
"4255_2022_1",2022-03-21,82574.51988439,77.8048803502028,2022-01-29 08:00:23,80,"4255_2022"
"4255_2022_1",2022-03-22,117635.188994805,57.4260708128763,2022-01-29 08:00:23,81,"4255_2022"
"4255_2022_1",2022-03-23,124796.141962754,58.3111087269236,2022-01-29 08:00:23,82,"4255_2022"
"4255_2022_1",2022-03-24,65229.2673227447,67.6320747323993,2022-01-29 08:00:23,83,"4255_2022"
"4255_2022_1",2022-03-25,79632.0907900685,78.1970811602849,2022-01-29 08:00:23,84,"4255_2022"
"4255_2022_1",2022-03-26,165925.349457535,70.0124496925858,2022-01-29 08:00:23,85,"4255_2022"
"4255_2022_1",2022-03-27,91387.6192568892,62.9886593806666,2022-01-29 08:00:23,86,"4255_2022"
"4255_2022_1",2022-03-28,147148.60677884,72.1211806578177,2022-01-29 08:00:23,87,"4255_2022"
"4255_2022_1",2022-03-29,197414.650090753,93.9215144919743,2022-01-29 08:00:23,88,"4255_2022"
"4255_2022_1",2022-03-30,270082.199008209,92.9293247018408,2022-01-29 08:00:23,89,"4255_2022"
"4255_2022_1",2022-03-31,226289.365627838,97.4112293241933,2022-01-29 08:00:23,90,"4255_2022"
