"NestID","date","nsd_daily_mean","displacement","t_","days_numeric","BirdID"
"8203_2022_1",2022-02-01,35840.6234372748,79.6506329253924,2022-01-30 08:00:41,32,"8203_2022"
"8203_2022_1",2022-02-02,27823.4138291981,85.4124431821136,2022-01-30 08:00:41,33,"8203_2022"
"8203_2022_1",2022-02-03,705210.586598935,113.904890765979,2022-01-30 08:00:41,34,"8203_2022"
"8203_2022_1",2022-02-04,166482.726917196,62.785458974999,2022-01-30 08:00:41,35,"8203_2022"
"8203_2022_1",2022-02-05,40455.4299825088,83.642210414023,2022-01-30 08:00:41,36,"8203_2022"
"8203_2022_1",2022-02-06,96538.7172247899,88.2721837679175,2022-01-30 08:00:41,37,"8203_2022"
"8203_2022_1",2022-02-07,41528.1146487627,98.7257699337834,2022-01-30 08:00:41,38,"8203_2022"
"8203_2022_1",2022-02-08,52774.3778182879,53.198781897383,2022-01-30 08:00:41,39,"8203_2022"
"8203_2022_1",2022-02-09,77001.6182781385,72.3930131615951,2022-01-30 08:00:41,40,"8203_2022"
"8203_2022_1",2022-02-10,298117.62754526,76.2151366389366,2022-01-30 08:00:41,41,"8203_2022"
"8203_2022_1",2022-02-11,124691.576815109,68.6087884513615,2022-01-30 08:00:41,42,"8203_2022"
"8203_2022_1",2022-02-12,225143.542978597,84.162931128916,2022-01-30 08:00:41,43,"8203_2022"
"8203_2022_1",2022-02-13,31073.5649260065,77.6789659246725,2022-01-30 08:00:41,44,"8203_2022"
"8203_2022_1",2022-02-14,304932.093745905,85.4470083863702,2022-01-30 08:00:41,45,"8203_2022"
"8203_2022_1",2022-02-15,46212.0432213017,62.352252714651,2022-01-30 08:00:41,46,"8203_2022"
"8203_2022_1",2022-02-16,1314584.48898358,92.3213569111828,2022-01-30 08:00:41,47,"8203_2022"
"8203_2022_1",2022-02-17,300545.875106557,168.676111913268,2022-01-30 08:00:41,48,"8203_2022"
"8203_2022_1",2022-02-18,1429311.54362239,120.226086617725,2022-01-30 08:00:41,49,"8203_2022"
"8203_2022_1",2022-02-19,85422.4124988107,87.0433036484297,2022-01-30 08:00:41,50,"8203_2022"
"8203_2022_1",2022-02-20,239456.907680645,125.819251189399,2022-01-30 08:00:41,51,"8203_2022"
"8203_2022_1",2022-02-21,361369.245550792,111.328558525699,2022-01-30 08:00:41,52,"8203_2022"
"8203_2022_1",2022-02-22,1388626.97339217,184.295931349407,2022-01-30 08:00:41,53,"8203_2022"
"8203_2022_1",2022-02-23,3243691.21413657,148.079656536474,2022-01-30 08:00:41,54,"8203_2022"
"8203_2022_1",2022-02-24,89452.0323829795,82.6190553536169,2022-01-30 08:00:41,55,"8203_2022"
"8203_2022_1",2022-02-25,1655066.86074485,106.996691848002,2022-01-30 08:00:41,56,"8203_2022"
"8203_2022_1",2022-02-26,797770.045365764,153.339549601307,2022-01-30 08:00:41,57,"8203_2022"
"8203_2022_1",2022-02-27,48346.511716971,76.7345471664778,2022-01-30 08:00:41,58,"8203_2022"
"8203_2022_1",2022-02-28,89288.8600331672,97.8001889142926,2022-01-30 08:00:41,59,"8203_2022"
"8203_2022_1",2022-03-01,855024.705778802,144.230740472381,2022-01-30 08:00:41,60,"8203_2022"
"8203_2022_1",2022-03-02,657241.880326164,163.522062103284,2022-01-30 08:00:41,61,"8203_2022"
"8203_2022_1",2022-03-03,493073.809132276,157.875272585718,2022-01-30 08:00:41,62,"8203_2022"
"8203_2022_1",2022-03-04,671584.687751352,133.752381127364,2022-01-30 08:00:41,63,"8203_2022"
"8203_2022_1",2022-03-05,1547984.59835913,156.322640540434,2022-01-30 08:00:41,64,"8203_2022"
"8203_2022_1",2022-03-06,329932.413021633,87.9772786665443,2022-01-30 08:00:41,65,"8203_2022"
