"NestID","date","nsd_daily_mean","displacement","t_","days_numeric","BirdID"
"8651_2023_1",2023-03-03,125873.788134115,148.693954137175,2023-03-03 15:00:53,62,"8651_2023"
"8651_2023_1",2023-03-04,36247.1102657665,29.4302433424246,2023-03-03 15:00:53,63,"8651_2023"
"8651_2023_1",2023-03-05,1252340.56004208,140.124410080964,2023-03-03 15:00:53,64,"8651_2023"
"8651_2023_1",2023-03-06,158184.984322798,75.8649222609138,2023-03-03 15:00:53,65,"8651_2023"
"8651_2023_1",2023-03-07,43279.4324032155,90.6148517910939,2023-03-03 15:00:53,66,"8651_2023"
"8651_2023_1",2023-03-08,47319.7795300006,79.0708550519223,2023-03-03 15:00:53,67,"8651_2023"
"8651_2023_1",2023-03-09,126511.933378345,67.4117490632304,2023-03-03 15:00:53,68,"8651_2023"
"8651_2023_1",2023-03-10,57235.1180114139,128.107071364226,2023-03-03 15:00:53,69,"8651_2023"
"8651_2023_1",2023-03-11,45050.3447564459,91.0974846713834,2023-03-03 15:00:53,70,"8651_2023"
"8651_2023_1",2023-03-12,673222.617838628,107.2884233841,2023-03-03 15:00:53,71,"8651_2023"
"8651_2023_1",2023-03-13,36995.9159751239,40.755095793354,2023-03-03 15:00:53,72,"8651_2023"
"8651_2023_1",2023-03-14,9621.87274791192,43.0601127113874,2023-03-03 15:00:53,73,"8651_2023"
"8651_2023_1",2023-03-15,39151.6605922262,30.6936391411201,2023-03-03 15:00:53,74,"8651_2023"
"8651_2023_1",2023-03-16,17067.2609773446,40.9067041021803,2023-03-03 15:00:53,75,"8651_2023"
"8651_2023_1",2023-03-17,121411.646219169,78.2576402297725,2023-03-03 15:00:53,76,"8651_2023"
"8651_2023_1",2023-03-18,84000.7713378708,45.165067704953,2023-03-03 15:00:53,77,"8651_2023"
"8651_2023_1",2023-03-19,13995.711490994,36.1839394058418,2023-03-03 15:00:53,78,"8651_2023"
"8651_2023_1",2023-03-20,18238.9940483293,57.7235431172831,2023-03-03 15:00:53,79,"8651_2023"
"8651_2023_1",2023-03-21,108494.615811664,57.8337250496332,2023-03-03 15:00:53,80,"8651_2023"
"8651_2023_1",2023-03-22,93277.4085951079,87.0355454808572,2023-03-03 15:00:53,81,"8651_2023"
"8651_2023_1",2023-03-23,68059.3013645046,87.4278423379536,2023-03-03 15:00:53,82,"8651_2023"
"8651_2023_1",2023-03-24,57511.2130761526,86.6911591092297,2023-03-03 15:00:53,83,"8651_2023"
"8651_2023_1",2023-03-25,22164.5740312982,68.5601636239667,2023-03-03 15:00:53,84,"8651_2023"
"8651_2023_1",2023-03-26,191167.321284326,80.754652513927,2023-03-03 15:00:53,85,"8651_2023"
"8651_2023_1",2023-03-27,30987.4551562668,50.9395831238111,2023-03-03 15:00:53,86,"8651_2023"
"8651_2023_1",2023-03-28,165041.138125698,87.8690270024509,2023-03-03 15:00:53,87,"8651_2023"
"8651_2023_1",2023-03-29,146924.477971705,72.0948341830452,2023-03-03 15:00:53,88,"8651_2023"
"8651_2023_1",2023-03-30,13470.6865408919,51.3937289239457,2023-03-03 15:00:53,89,"8651_2023"
"8651_2023_1",2023-03-31,169818.98323576,104.14736680804,2023-03-03 15:00:53,90,"8651_2023"
"8651_2023_1",2023-04-01,486768.394751715,157.505376222151,2023-03-03 15:00:53,91,"8651_2023"
