"NestID","date","nsd_daily_mean","displacement","t_","days_numeric","BirdID"
"8207_2022_1",2022-02-02,182466.572677459,166.36629630786,2022-02-02 08:00:47,33,"8207_2022"
"8207_2022_1",2022-02-03,39691.4351301631,86.6742333286457,2022-02-02 08:00:47,34,"8207_2022"
"8207_2022_1",2022-02-04,47197.1063679201,111.348043282584,2022-02-02 08:00:47,35,"8207_2022"
"8207_2022_1",2022-02-05,170341.348485652,162.974405842691,2022-02-02 08:00:47,36,"8207_2022"
"8207_2022_1",2022-02-06,250179.608709931,136.794515524682,2022-02-02 08:00:47,37,"8207_2022"
"8207_2022_1",2022-02-07,127182.926196009,95.9701199091937,2022-02-02 08:00:47,38,"8207_2022"
"8207_2022_1",2022-02-08,192405.867105245,249.545818940529,2022-02-02 08:00:47,39,"8207_2022"
"8207_2022_1",2022-02-09,33148.8218223884,91.1651848042376,2022-02-02 08:00:47,40,"8207_2022"
"8207_2022_1",2022-02-10,321985.614243725,163.392877438735,2022-02-02 08:00:47,41,"8207_2022"
"8207_2022_1",2022-02-11,34222.6319303084,115.183094301585,2022-02-02 08:00:47,42,"8207_2022"
"8207_2022_1",2022-02-12,155084.613937463,116.428504911148,2022-02-02 08:00:47,43,"8207_2022"
"8207_2022_1",2022-02-13,12418.8050989835,65.7811745738421,2022-02-02 08:00:47,44,"8207_2022"
"8207_2022_1",2022-02-14,3587.44863141042,48.1340678008467,2022-02-02 08:00:47,45,"8207_2022"
"8207_2022_1",2022-02-15,9412.20759142654,47.2407621938023,2022-02-02 08:00:47,46,"8207_2022"
"8207_2022_1",2022-02-16,88935.9345036079,140.131447648651,2022-02-02 08:00:47,47,"8207_2022"
"8207_2022_1",2022-02-17,366453.719496475,252.640718560298,2022-02-02 08:00:47,48,"8207_2022"
"8207_2022_1",2022-02-18,39790.4792227206,67.9924988153276,2022-02-02 08:00:47,49,"8207_2022"
"8207_2022_1",2022-02-19,24755.8684812154,86.9281646564665,2022-02-02 08:00:47,50,"8207_2022"
"8207_2022_1",2022-02-20,421750.260480166,202.682761530615,2022-02-02 08:00:47,51,"8207_2022"
"8207_2022_1",2022-02-21,132968.584399071,182.612980778466,2022-02-02 08:00:47,52,"8207_2022"
"8207_2022_1",2022-02-22,150710.327074588,199.3447898721,2022-02-02 08:00:47,53,"8207_2022"
"8207_2022_1",2022-02-23,133373.355619013,99.9282409800071,2022-02-02 08:00:47,54,"8207_2022"
"8207_2022_1",2022-02-24,71222.743572824,85.7446972447849,2022-02-02 08:00:47,55,"8207_2022"
"8207_2022_1",2022-02-25,37545.1045506855,148.293890792962,2022-02-02 08:00:47,56,"8207_2022"
"8207_2022_1",2022-02-26,147731.221499207,184.763051434663,2022-02-02 08:00:47,57,"8207_2022"
"8207_2022_1",2022-02-27,325002.880043276,212.770545720242,2022-02-02 08:00:47,58,"8207_2022"
"8207_2022_1",2022-02-28,70379.7427672239,100.771870316313,2022-02-02 08:00:47,59,"8207_2022"
"8207_2022_1",2022-03-01,124375.996078265,135.722012049475,2022-02-02 08:00:47,60,"8207_2022"
"8207_2022_1",2022-03-02,232357.191110583,160.491461567495,2022-02-02 08:00:47,61,"8207_2022"
"8207_2022_1",2022-03-03,138036.335148714,199.729922012905,2022-02-02 08:00:47,62,"8207_2022"
"8207_2022_1",2022-03-04,166614.324165097,129.956061782317,2022-02-02 08:00:47,63,"8207_2022"
"8207_2022_1",2022-03-05,383759.095124314,328.755926318237,2022-02-02 08:00:47,64,"8207_2022"
"8207_2022_1",2022-03-06,69530.9541344835,131.46051601182,2022-02-02 08:00:47,65,"8207_2022"
"8207_2022_1",2022-03-07,98494.4249256178,182.388315702475,2022-02-02 08:00:47,66,"8207_2022"
