"NestID","BirdID","t_","nsd_daily_mean","displacement","days_numeric"
"9005_2023_1","9005_2023",2023-02-10 16:00:41,3052.26749347871,38.6843243433424,121
"9005_2023_1","9005_2023",2023-02-10 16:00:41,1525.06093426074,37.8369929924453,122
"9005_2023_1","9005_2023",2023-02-10 16:00:41,2366.14611583165,44.1370598159195,123
"9005_2023_1","9005_2023",2023-02-10 16:00:41,1205.6107306326,31.3478494448957,124
"9005_2023_1","9005_2023",2023-02-10 16:00:41,6962.74202386024,67.9825800397168,125
"9005_2023_1","9005_2023",2023-02-10 16:00:41,2219.7295180774,44.325384516537,126
"9005_2023_1","9005_2023",2023-02-10 16:00:41,2326.24431512434,45.0085362068863,127
"9005_2023_1","9005_2023",2023-02-10 16:00:41,1053.09887206645,35.4754043115315,128
"9005_2023_1","9005_2023",2023-02-10 16:00:41,763413.314394402,292.873002865477,129
"9005_2023_1","9005_2023",2023-02-10 16:00:41,602.880435397103,26.3224175127296,130
