"NestID","BirdID","t_","nsd_daily_mean","displacement","days_numeric"
"8209_2022_1","8209_2022",2022-02-06 08:00:23,74853.826267513,119.612950074875,60
"8209_2022_1","8209_2022",2022-02-06 08:00:23,524053.07712414,223.146799365101,61
"8209_2022_1","8209_2022",2022-02-06 08:00:23,48236.3354304217,99.2561371865113,62
"8209_2022_1","8209_2022",2022-02-06 08:00:23,46331.0730784388,122.404815895386,63
"8209_2022_1","8209_2022",2022-02-06 08:00:23,192667.487863987,173.664971241891,64
"8209_2022_1","8209_2022",2022-02-06 08:00:23,1598492.23420043,335.248751668094,65
"8209_2022_1","8209_2022",2022-02-06 08:00:23,285647.686475041,201.68013165997,66
"8209_2022_1","8209_2022",2022-02-06 08:00:23,500284.207685928,206.493328623334,67
"8209_2022_1","8209_2022",2022-02-06 08:00:23,49429.9960824864,115.800007968788,68
"8209_2022_1","8209_2022",2022-02-06 08:00:23,34594.0640165417,87.6864357988052,69
"8209_2022_1","8209_2022",2022-02-06 08:00:23,82679.0054116053,146.492600659955,70
"8209_2022_1","8209_2022",2022-02-06 08:00:23,21788.915376845,60.8538517809196,71
"8209_2022_1","8209_2022",2022-02-06 08:00:23,8416.93276917255,60.8006798234192,72
"8209_2022_1","8209_2022",2022-02-06 08:00:23,36781.1914021608,106.460417303126,73
"8209_2022_1","8209_2022",2022-02-06 08:00:23,111004.827720594,113.268736732934,74
"8209_2022_1","8209_2022",2022-02-06 08:00:23,70808.481777797,161.711918879899,75
"8209_2022_1","8209_2022",2022-02-06 08:00:23,247551.090355234,233.012273434652,76
"8209_2022_1","8209_2022",2022-02-06 08:00:23,344390.714467513,285.189565801428,77
"8209_2022_1","8209_2022",2022-02-06 08:00:23,60960.0511680338,130.026296771614,78
"8209_2022_1","8209_2022",2022-02-06 08:00:23,42922.6208181546,143.042692988063,79
"8209_2022_1","8209_2022",2022-02-06 08:00:23,275998.513959168,162.531380481852,80
"8209_2022_1","8209_2022",2022-02-06 08:00:23,388406.14957357,189.995018309852,81
"8209_2022_1","8209_2022",2022-02-06 08:00:23,65097.1641351237,131.016716083446,82
