"NestID","date","nsd_daily_mean","displacement","t_","days_numeric","BirdID"
"8191_2023_1",2023-03-08,13216.2723702319,34.8444894521353,2023-03-08 00:00:11,67,"8191_2023"
"8191_2023_1",2023-03-09,77422.7489234535,69.7359164798038,2023-03-08 00:00:11,68,"8191_2023"
"8191_2023_1",2023-03-10,35436.8560529968,71.1259886728874,2023-03-08 00:00:11,69,"8191_2023"
"8191_2023_1",2023-03-11,37025.1150726628,53.2091249253861,2023-03-08 00:00:11,70,"8191_2023"
"8191_2023_1",2023-03-12,51917.9951490099,63.9039120718784,2023-03-08 00:00:11,71,"8191_2023"
"8191_2023_1",2023-03-13,44111.8954558804,59.4482535600986,2023-03-08 00:00:11,72,"8191_2023"
"8191_2023_1",2023-03-14,38569.9414763553,60.3537265459225,2023-03-08 00:00:11,73,"8191_2023"
"8191_2023_1",2023-03-15,13344.670248445,49.7348319026506,2023-03-08 00:00:11,74,"8191_2023"
"8191_2023_1",2023-03-16,91524.7595667217,69.0782643756272,2023-03-08 00:00:11,75,"8191_2023"
"8191_2023_1",2023-03-17,57930.9384922074,92.2586146500085,2023-03-08 00:00:11,76,"8191_2023"
"8191_2023_1",2023-03-18,59623.1893242167,66.7121337003136,2023-03-08 00:00:11,77,"8191_2023"
"8191_2023_1",2023-03-19,29161.2233287078,51.8480226772914,2023-03-08 00:00:11,78,"8191_2023"
"8191_2023_1",2023-03-20,61093.6622872654,57.6935133030833,2023-03-08 00:00:11,79,"8191_2023"
"8191_2023_1",2023-03-21,89981.9354585807,75.4719115537487,2023-03-08 00:00:11,80,"8191_2023"
"8191_2023_1",2023-03-22,58953.5967428368,94.6181060504737,2023-03-08 00:00:11,81,"8191_2023"
"8191_2023_1",2023-03-23,38872.6424489076,62.2402471789018,2023-03-08 00:00:11,82,"8191_2023"
"8191_2023_1",2023-03-24,110270.610802848,80.2070171675581,2023-03-08 00:00:11,83,"8191_2023"
"8191_2023_1",2023-03-25,81555.7117688082,80.7494766673873,2023-03-08 00:00:11,84,"8191_2023"
"8191_2023_1",2023-03-26,163638.025527502,85.4566958386431,2023-03-08 00:00:11,85,"8191_2023"
"8191_2023_1",2023-03-27,42813.8560713387,76.6436128965254,2023-03-08 00:00:11,86,"8191_2023"
"8191_2023_1",2023-03-28,230640.623875502,107.86564664329,2023-03-08 00:00:11,87,"8191_2023"
"8191_2023_1",2023-03-29,543490.871265854,129.703078953676,2023-03-08 00:00:11,88,"8191_2023"
